State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,25/01/2006,300,450,420,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,26/01/2006,350,450,400,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,01/02/2006,300,400,350,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,08/02/2006,500,600,550,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,13/02/2006,300,400,350,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,18/02/2006,300,400,350,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,25/02/2006,300,400,350,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,01/03/2006,350,450,400,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,13/03/2006,200,300,250,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,28/03/2006,200,300,250,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,30/03/2006,200,300,250,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,05/04/2006,250,350,300,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,17/04/2006,200,350,300,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,19/04/2006,250,350,300,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,01/05/2006,200,350,300,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,04/05/2006,300,400,350,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,09/05/2006,300,350,325,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,11/05/2006,400,500,450,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,12/05/2006,300,400,350,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,25/05/2006,300,400,350,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,07/06/2006,250,300,280,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,14/06/2006,200,350,300,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,20/06/2006,200,300,250,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,23/06/2006,200,250,220,35
Karnataka,Mysore,Mysore (Bandipalya),Brinjal,Round/Long,FAQ,24/06/2006,200,300,250,35
