State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mysore,Hunsur,Cabbage,Cabbage,Medium,31/10/2007,220,220,220,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,11/01/2007,200,300,250,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,12/01/2007,200,250,225,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,15/01/2007,200,350,300,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,16/01/2007,300,400,350,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,18/01/2007,200,300,250,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,20/01/2007,200,300,250,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,20/02/2007,400,500,450,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,27/02/2007,300,350,325,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,28/02/2007,200,350,300,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,05/03/2007,200,350,300,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,14/03/2007,300,400,350,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,15/03/2007,300,400,350,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,16/03/2007,300,400,350,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,19/03/2007,300,400,350,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,22/03/2007,300,400,350,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,27/03/2007,300,400,350,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,29/03/2007,200,300,250,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,09/04/2007,400,550,500,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,18/04/2007,700,800,750,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,19/04/2007,600,700,650,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,30/04/2007,300,500,450,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,09/05/2007,400,500,450,154
Karnataka,Mysore,Mysore (Bandipalya),Cabbage,Cabbage,FAQ,10/05/2007,450,550,500,154
