State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,01/01/2007,1000,1100,1050,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,09/01/2007,750,850,800,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,15/01/2007,900,1100,1000,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,17/01/2007,900,1000,950,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,20/01/2007,900,1000,950,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,22/01/2007,700,800,750,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,24/02/2007,750,850,800,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,05/03/2007,800,900,850,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,07/03/2007,900,1000,950,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,08/03/2007,800,900,850,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,05/04/2007,800,900,850,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,17/04/2007,800,900,850,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,23/04/2007,900,1100,1000,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,27/04/2007,900,1100,1000,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,02/05/2007,1000,1100,1050,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,16/05/2007,900,1100,1000,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,19/05/2007,900,1100,1000,153
Karnataka,Mysore,Mysore (Bandipalya),Carrot,Carrot,FAQ,01/06/2007,900,1100,1050,153
