State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,08/01/2005,1208,1208,1208,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,Medium,08/02/2005,1500,1700,1650,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,21/03/2005,1500,1650,1550,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,23/04/2005,1655,1788,1700,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,30/04/2005,1741,1741,1741,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,02/05/2005,1600,1700,1650,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,07/05/2005,1500,1500,1500,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,19/05/2005,1250,1280,1250,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,04/06/2005,1016,1669,1439,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,27/06/2005,682,1669,1389,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,13/07/2005,1150,1629,1219,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,12/03/2007,2201,2201,2201,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,22/06/2007,2176,2176,2176,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,26/06/2007,1317,1600,1319,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,07/07/2007,1025,2713,1820,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,11/07/2007,1205,2816,1899,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,28/07/2007,1536,2615,1848,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,04/10/2007,1200,2536,1669,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,11/10/2007,1190,2261,1469,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,12/10/2007,1229,2260,1450,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,15/10/2007,1020,2231,1689,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,09/11/2007,1090,1540,1360,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,26/11/2007,1301,2410,1920,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,06/12/2007,1330,2083,1380,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,Medium,13/12/2007,1240,2067,1320,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,Medium,14/12/2007,1320,1597,1326,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,24/12/2007,1000,2100,1850,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,15/04/2008,2209,2209,2209,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,07/06/2008,1721,1786,1721,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,20/06/2008,1540,1940,1870,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,27/06/2008,1485,2440,2150,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,04/07/2008,1189,2026,1819,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,09/07/2008,1156,1856,1528,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,12/07/2008,1209,1889,1576,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,17/07/2008,1245,2336,2059,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,18/07/2008,1369,2462,2172,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,22/07/2008,1209,2789,2250,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,22/08/2008,810,1810,1150,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,05/09/2008,1340,2336,2150,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,11/09/2008,910,1820,1297,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,16/10/2008,917,2510,1600,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,Medium,06/11/2008,1276,2148,1550,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,10/11/2008,1086,2426,2100,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,17/11/2008,1190,2722,2500,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,20/11/2008,1150,2852,2350,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,21/11/2008,1090,2370,2200,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,22/11/2008,1010,2650,2400,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,02/12/2008,1351,2630,2400,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,04/12/2008,1310,2840,2400,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Balli/Habbu,FAQ,11/12/2008,1640,2910,2300,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,28/06/2010,1810,2056,1870,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,08/07/2010,2030,2659,2280,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,09/07/2010,1916,2746,2269,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,18/08/2010,1011,3339,2250,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,24/09/2010,1039,2676,1870,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,29/09/2010,1001,2619,1896,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,Local,04/10/2010,909,3090,1970,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,19/10/2010,1710,3169,2779,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,Medium,23/10/2010,1189,2949,2079,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,Medium,27/10/2010,1579,2700,2180,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,Medium,28/10/2010,1059,3136,2169,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,30/11/2010,2583,2936,2700,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,08/12/2010,1875,3730,3452,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,29/07/2011,1066,4281,2569,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,03/08/2011,1089,4348,2700,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,24/08/2011,1169,3289,2819,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,05/09/2011,1940,3646,2314,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,09/09/2011,1518,3816,2746,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,15/09/2011,1809,3546,2229,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,24/09/2011,1379,2856,2069,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,13/10/2011,1309,3596,2460,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,17/10/2011,1269,3849,2569,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,29/10/2011,1569,3680,2376,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,31/10/2011,1029,3870,2510,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,16/11/2011,1351,3610,2276,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,18/11/2011,1046,3946,2489,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,19/12/2011,2529,2822,2529,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,12/07/2011,1629,3808,2148,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,31/01/2012,2500,2601,2550,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,Medium,25/06/2012,2161,4676,2637,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,29/06/2012,2570,4927,3700,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,03/07/2012,2661,4746,3409,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,19/07/2012,3047,5176,4200,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,25/07/2012,2099,5309,3700,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,26/07/2012,2442,5616,3376,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,Medium,13/08/2012,1416,4746,2100,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,04/09/2012,1406,5109,3336,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,06/09/2012,2101,5009,3676,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,13/09/2012,1009,4700,2751,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,Medium,29/09/2012,3127,4141,3351,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,03/11/2012,1739,4276,3776,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,05/11/2012,1490,4896,3656,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,17/11/2012,2651,5376,4109,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,Medium,19/11/2012,2400,5552,3496,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,21/11/2012,2646,5176,3136,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,22/11/2012,1609,5476,4476,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,23/11/2012,2346,4816,3759,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,05/12/2012,2050,5131,4881,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,06/12/2012,2276,5877,3917,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,15/12/2012,2640,4596,3746,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,19/12/2012,2889,4587,4486,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,22/12/2012,2206,5659,3646,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,26/12/2012,1629,5461,4369,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,04/01/2013,3469,5880,4836,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,27/02/2013,2000,2680,2300,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,13/03/2013,4000,4800,4400,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,19/03/2013,4000,5156,4750,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,Medium,01/04/2013,2500,3180,2750,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,25/04/2013,4000,4440,4200,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,20/05/2013,3000,3646,3300,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,Large,04/07/2013,2481,3421,3129,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,FAQ,16/07/2013,1659,5110,4666,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,Local,29/07/2013,1661,5236,4806,10
Karnataka,Mysore,Mysore (Bandipalya),Groundnut,Other,Local,02/08/2013,1539,4080,3629,10
