State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mysore,Mysore (Bandipalya),Mango,Badami,FAQ,15/05/2007,700,1400,1000,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Other,FAQ,07/05/2007,800,1000,900,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Other,FAQ,08/05/2007,800,1000,900,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Other,FAQ,19/05/2007,500,600,550,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Badami,FAQ,09/05/2005,400,1500,1250,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Badami,FAQ,20/05/2005,400,1400,1000,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Badami,FAQ,26/05/2005,300,1300,1000,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Badami,FAQ,20/05/2008,1800,2500,2100,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Other,FAQ,15/05/2008,1200,1300,1250,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Other,FAQ,02/06/2008,2000,2400,2400,20
Karnataka,Mysore,Piriya Pattana,Mango,Other,FAQ,10/06/2010,1000,1000,1000,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Badami,FAQ,15/05/2006,1500,1500,1500,20
Karnataka,Mysore,Nanjangud,Mango,Totapuri,FAQ,10/05/2015,1086,1086,1086,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Other,FAQ,23/06/2016,2000,2000,2000,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Other,FAQ,25/07/2016,3500,3500,3500,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Other,FAQ,18/04/2020,2500,4500,4000,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Other,FAQ,21/04/2020,3000,14500,4000,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Other,FAQ,23/04/2020,3000,6000,4000,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Other,FAQ,30/04/2020,2000,4500,3500,20
Karnataka,Mysore,Mysore (Bandipalya),Mango,Other,FAQ,01/05/2020,3000,5000,4500,20
