State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,09/05/2007,1800,2200,2000,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,05/01/2008,1400,1400,1400,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,02/02/2008,1900,1900,1900,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,02/05/2008,2400,2400,2400,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,25/06/2008,2000,2100,2000,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,16/01/2010,2000,2400,2200,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,03/02/2009,2800,3000,2900,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,20/04/2009,1800,2400,2100,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,12/01/2006,1500,1800,1650,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,10/02/2006,1600,1800,1700,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,05/04/2006,1600,2000,1800,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,06/04/2006,1600,2000,1800,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,16/09/2006,1600,2000,1800,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,02/06/2005,1500,2000,1800,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,16/11/2005,1500,2000,1600,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,28/01/2002,1500,1800,1700,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,24/09/2002,1345,1435,1380,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,22/03/2003,1800,2000,1950,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,Medium,07/10/2004,1500,2000,2000,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,03/02/2018,4200,4800,4500,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,09/03/2018,4400,4800,4600,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,02/04/2018,4000,4600,4300,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,06/04/2018,4000,4600,4300,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,11/04/2018,4000,4600,4300,12
Karnataka,Mysore,Mysore (Bandipalya),Mustard,Other,FAQ,08/05/2018,4000,4600,4300,12
