State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mysore,Mysore (Bandipalya),Onion,Bangalore-Samall,FAQ,11/05/2007,1000,1200,1100,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Bangalore-Samall,FAQ,14/06/2007,300,800,500,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Bangalore-Samall,FAQ,19/11/2007,500,1100,800,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Bangalore-Samall,FAQ,26/11/2007,280,280,280,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,11/01/2007,300,1100,700,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,16/01/2007,350,1300,750,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,17/01/2007,400,1400,900,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,22/01/2007,500,1250,850,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,10/02/2007,600,1200,900,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,26/02/2007,500,850,700,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,06/03/2007,500,800,650,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,23/03/2007,500,800,650,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,27/03/2007,500,750,600,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,18/04/2007,500,800,650,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,03/05/2007,500,750,600,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,08/05/2007,500,750,600,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,09/05/2007,500,750,600,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,15/05/2007,400,750,600,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,02/07/2007,800,1200,1000,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,14/07/2007,800,1100,950,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,18/07/2007,800,1050,950,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,25/07/2007,800,1050,900,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,08/08/2007,800,1200,1000,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,10/08/2007,800,1200,1000,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,20/08/2007,1200,1800,1500,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,27/08/2007,1000,1400,1200,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,01/09/2007,1000,1500,1200,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,03/09/2007,1000,1500,1200,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,04/09/2007,1000,1500,1200,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,18/09/2007,950,1400,1200,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,23/10/2007,700,1500,1050,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,25/10/2007,800,1250,1050,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,30/10/2007,600,1500,1100,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,03/11/2007,400,1000,700,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,07/11/2007,300,800,600,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,09/11/2007,400,800,600,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,13/11/2007,400,1200,800,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,14/11/2007,400,1200,800,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,21/11/2007,500,1200,800,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,30/11/2007,300,850,600,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,03/12/2007,400,800,600,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,07/12/2007,500,850,700,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,18/12/2007,300,800,600,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Bangalore-Samall,FAQ,15/02/2005,200,700,500,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Bangalore-Samall,FAQ,30/03/2005,100,200,150,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,14/03/2005,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,26/03/2005,300,450,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,13/04/2005,250,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,16/04/2005,200,450,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,18/04/2005,300,450,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,29/04/2005,250,425,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,11/05/2005,300,450,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,27/05/2005,250,400,390,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,31/05/2005,250,400,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,24/06/2005,200,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,08/07/2005,550,680,650,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,15/07/2005,500,580,550,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,16/07/2005,500,580,560,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,25/07/2005,300,600,580,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,30/07/2005,300,650,630,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,18/08/2005,500,950,800,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,19/08/2005,500,900,800,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,26/08/2005,500,950,850,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,03/09/2005,500,950,900,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,05/09/2005,600,1100,1000,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,26/09/2005,600,950,850,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,28/09/2005,500,900,850,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,30/09/2005,600,950,900,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,11/10/2005,400,900,850,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,20/10/2005,800,1500,1000,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,08/12/2005,750,900,800,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Puna,FAQ,16/12/2005,800,950,850,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Bangalore-Samall,FAQ,25/11/2008,600,1200,1000,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Bangalore-Samall,FAQ,05/12/2008,650,1100,1000,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,12/01/2008,300,700,500,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,14/01/2008,250,700,450,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,16/01/2008,300,600,500,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,17/01/2008,300,600,450,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,Medium,18/01/2008,300,600,450,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,16/02/2008,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,28/02/2008,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,03/03/2008,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,08/03/2008,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,13/03/2008,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,17/03/2008,300,475,425,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,26/03/2008,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,31/03/2008,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,05/04/2008,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,09/04/2008,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,22/04/2008,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,25/04/2008,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,07/05/2008,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,13/05/2008,250,450,350,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,19/05/2008,250,450,350,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,24/05/2008,300,450,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,26/05/2008,300,500,400,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,29/05/2008,350,500,450,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,30/05/2008,350,500,450,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,05/06/2008,450,600,475,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,09/06/2008,450,625,600,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,10/06/2008,450,500,480,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,23/06/2008,350,650,500,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,10/07/2008,600,750,700,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,14/07/2008,650,750,700,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,18/07/2008,800,850,840,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,24/07/2008,800,850,820,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,25/07/2008,750,850,800,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,06/08/2008,600,1100,950,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,13/08/2008,800,1000,900,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,18/08/2008,600,1000,800,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,22/08/2008,500,1000,850,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,25/08/2008,500,1000,800,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,26/08/2008,500,1000,800,23
Karnataka,Mysore,Mysore (Bandipalya),Onion,Other,FAQ,28/08/2008,500,1000,800,23
