State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,20/11/2015,2000,2000,2000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,03/02/2016,1500,1600,1571,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,11/08/2016,4000,4000,4000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,22/09/2016,2250,2250,2250,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,06/04/2020,2000,5000,3500,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,11/04/2020,2500,5000,4000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,19/04/2020,2500,5500,4500,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,02/05/2020,2000,4000,3500,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,15/09/2020,2500,3500,3000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,18/02/2022,4545,4583,4545,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,24/02/2022,4100,4100,4100,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,25/02/2022,4600,4600,4600,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,08/03/2022,3500,4000,3800,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,15/03/2022,3500,4000,3800,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,31/03/2022,3000,4000,3500,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,08/04/2022,5000,5153,5100,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,09/04/2022,5000,5000,5000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,11/04/2022,4166,4545,4300,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,12/07/2022,4000,6000,5000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,20/07/2022,8350,8350,8350,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,23/07/2022,8300,8350,8300,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,19/08/2022,3000,3000,3000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,13/09/2022,2000,2000,2000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,03/11/2022,1700,1976,1900,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,09/11/2022,1700,2000,1900,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,14/11/2022,2000,2400,2000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,16/11/2022,2100,2200,2100,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,30/11/2022,1950,2436,2250,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,09/12/2022,1600,1882,1750,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,10/12/2022,1450,2000,1700,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,16/12/2022,1900,1900,1900,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,20/12/2022,2000,2000,2000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,26/12/2022,1900,1900,1900,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,31/12/2022,1900,1900,1900,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,07/06/2021,4000,7000,5000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,21/06/2021,2500,6000,4000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,26/08/2021,2200,3500,3000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,30/08/2021,2200,3500,3200,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,01/09/2021,2500,3500,3000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,06/09/2021,2500,4000,3200,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,13/09/2021,2500,4000,3200,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,22/09/2021,2500,3500,3200,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,04/10/2021,2800,4000,3200,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,08/10/2021,2500,3500,3000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,21/10/2021,2500,4000,3200,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,28/10/2021,2500,4000,3200,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,29/10/2021,2800,4500,3500,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,31/10/2021,3000,4000,3200,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,16/11/2021,3400,3400,3400,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,19/11/2021,3045,3125,3090,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,03/12/2021,2941,2941,2941,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,14/12/2021,2800,2800,2800,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,18/12/2021,2518,3400,2631,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,28/12/2021,3000,4500,3800,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,09/01/2023,2000,2000,2000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,12/01/2023,2200,2200,2200,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,17/01/2023,1800,2500,2400,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,19/01/2023,1800,2000,1900,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,02/02/2023,2000,2000,2000,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,15/02/2023,1800,2500,2200,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,20/02/2023,1900,2000,1900,18
Karnataka,Mysore,Mysore (Bandipalya),Orange,Orange,FAQ,09/06/2023,5000,5000,5000,18
