State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Other,FAQ,13/11/2007,300,400,350,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Other,FAQ,19/11/2007,300,350,325,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Other,FAQ,01/12/2007,200,350,300,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Other,FAQ,03/12/2007,200,300,250,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Other,FAQ,07/01/2008,200,300,250,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Other,FAQ,16/01/2008,200,300,250,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Other,FAQ,19/01/2008,200,300,250,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Other,FAQ,02/02/2008,250,350,300,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Other,FAQ,05/02/2008,200,300,280,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Other,FAQ,12/06/2008,200,300,250,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Other,FAQ,13/08/2008,200,250,220,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Other,FAQ,03/12/2008,500,600,550,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,12/05/2010,300,400,350,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,15/05/2010,350,450,400,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,28/06/2010,400,500,480,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,28/07/2010,300,400,350,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,18/08/2010,300,400,350,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,06/09/2010,300,400,350,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,15/09/2010,300,400,350,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,06/10/2010,300,400,350,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,12/10/2010,300,400,350,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,08/11/2010,400,500,450,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,20/11/2010,300,500,450,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,23/11/2010,300,400,350,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,30/11/2010,400,500,450,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,22/12/2010,300,500,400,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,29/12/2010,400,500,450,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,30/12/2010,700,850,800,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,01/01/2011,800,900,850,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,05/01/2011,700,900,800,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,06/01/2011,500,700,600,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,07/01/2011,500,700,600,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,19/01/2011,500,600,550,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,08/02/2011,400,500,450,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,28/02/2011,400,500,450,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,04/03/2011,300,400,350,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,Local,20/06/2011,300,400,350,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,27/07/2011,200,300,250,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,20/08/2011,300,400,350,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,05/12/2011,400,500,450,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,08/12/2011,400,500,450,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,17/12/2011,400,500,450,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,26/12/2011,300,500,400,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,31/12/2011,400,500,450,152
Karnataka,Mysore,Hunsur,Sweet Potato,Sweet Potato,Medium,11/02/2012,285,285,285,152
Karnataka,Mysore,K.R.Nagar,Sweet Potato,Sweet Potato,Small,11/12/2012,457,457,457,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,02/01/2012,400,500,450,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,09/01/2012,400,600,500,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,18/01/2012,300,500,400,152
Karnataka,Mysore,Mysore (Bandipalya),Sweet Potato,Sweet Potato,FAQ,06/02/2012,400,500,450,152
