State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,23/02/2006,250,350,300,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,28/02/2006,300,400,350,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,01/03/2006,250,350,300,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,06/03/2006,300,400,350,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,19/09/2006,300,400,350,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,05/10/2006,300,400,350,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,08/10/2006,400,550,500,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,12/10/2006,350,450,430,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,14/11/2006,250,350,300,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,11/09/2007,400,400,400,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,FAQ,19/09/2007,250,250,250,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,25/09/2007,225,225,225,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,FAQ,18/10/2007,200,200,200,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,23/01/2007,250,350,300,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,23/02/2007,350,450,400,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,16/03/2007,600,700,650,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,23/03/2007,350,450,400,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,04/06/2007,400,500,450,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,14/09/2007,400,550,500,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,19/09/2007,200,300,250,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,21/09/2007,350,450,400,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,26/09/2007,250,350,300,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,26/10/2007,200,300,250,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,27/10/2007,200,300,250,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,29/10/2007,200,300,280,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,02/11/2007,200,300,250,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,01/12/2007,500,600,550,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,17/12/2007,300,400,350,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,Medium,19/12/2007,300,400,350,73
Karnataka,Mysore,Nanjangud,Water Melon,Water Melon,FAQ,19/01/2007,250,300,270,73
Karnataka,Mysore,Santhesargur,Water Melon,Water Melon,FAQ,29/09/2007,250,250,250,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,21/01/2009,250,250,250,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,02/02/2009,375,375,375,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,27/07/2009,200,200,200,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,01/09/2009,175,200,200,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,30/10/2009,266,266,266,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,31/10/2009,400,400,400,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,01/11/2009,125,125,125,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,01/12/2009,221,221,221,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,22/12/2009,200,200,200,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,31/03/2009,500,700,600,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,21/04/2009,500,700,600,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,22/04/2009,400,500,450,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,31/10/2009,500,600,550,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,02/11/2009,400,500,450,73
Karnataka,Mysore,Mysore (Bandipalya),Water Melon,Water Melon,FAQ,22/12/2009,400,500,450,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,23/01/2010,170,170,170,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,19/02/2010,335,335,335,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,FAQ,05/04/2010,132,132,132,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,27/04/2010,220,220,220,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,10/08/2010,415,415,415,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,19/08/2010,200,200,200,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,24/08/2010,200,320,320,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,13/10/2010,200,200,200,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,09/12/2010,430,430,430,73
Karnataka,Mysore,Hunsur,Water Melon,Water Melon,Medium,24/12/2010,220,220,220,73
